Taxa	DECLATITUDE	DECLONGITUDE
ICARDA_G0198	38.0167	27.5333
ICARDA_G0636	37.6167	36.9333
ICARDA_G0557	37.5	36.8
ICARDA_G0475	42.1667	20.5333
ICARDA_G0038	38.1667	20.4333
ICARDA_G0881	37.6	22.0333
ICARDA_G1008	40.25	21.9167
ICARDA_G0314	36.75	22.5667
ICARDA_G0232	41.8167	20.4167
ICARDA_G0248	39.8667	20.7667
ICARDA_G0273	37.2167	28.3667
ICARDA_G0312	37.9333	28.9167
ICARDA_G0327	39.6833	43.25
ICARDA_G0082	37.6167	36.9333
ICARDA_G1231	40.25	26.6833
ICARDA_G1325	35.3	23.6333
ICARDA_G0359	34	66
ICARDA_G0329	29.6667	91.1333
ICARDA_G0261	37.6167	36.9333
ICARDA_G0192	34.7667	113.65
ICARDA_G1151	37.9	112.567
ICARDA_G0893	36.1667	120.417
ICARDA_G0649	36.6667	73
ICARDA_G0471	37.2167	28.3667
ICARDA_G0681	38.1833	15.7167
ICARDA_G0751	29.6833	91.0833
ICARDA_G0532	36.9167	22.4333
ICARDA_G0698	38.4333	27.15
ICARDA_G0847	39	35
ICARDA_G0942	36.6417	35.375
ICARDA_G0119	38.4833	41.8333
ICARDA_G0370	38.7333	40.1167
ICARDA_G0669	40.7167	26.3
ICARDA_G1094	39	35
ICARDA_G1147	38.0167	15.4167
ICARDA_G0364	41.6333	48.3667
ICARDA_G0643	38.6	27.0667
ICARDA_G0152	35.3	24.5167
ICARDA_G0483	34.9333	70.3667
ICARDA_G0664	31.4167	73.9
ICARDA_G0172	47.8167	128.833
ICARDA_G0731	29.65	91.1333
ICARDA_G1216	38.75	30.5167
ICARDA_G0625	39.4167	29.9667
ICARDA_G0581	38.6667	29.4
ICARDA_G0663	39.4167	29.9667
ICARDA_G0933	40.15	29.9667
ICARDA_G1366	40.15	29.9667
ICARDA_G0697	40.15	29.9667
ICARDA_G0622	40.15	29.9667
ICARDA_G0203	39.7833	30.5167
ICARDA_G0109	5.28333	37.35
ICARDA_G0966	5.28333	37.35
ICARDA_G1069	5.25	37.5167
ICARDA_G0491	47.0667	12.8
ICARDA_G0428	46.8667	12.8833
ICARDA_G0078	47.05	10.6167
ICARDA_G0356	47.2	10.7667
ICARDA_G0569	43.8333	21.9667
ICARDA_G0797	42.2167	20.75
ICARDA_G0001	34.7667	63.7
ICARDA_G0503	34.6333	65.75
ICARDA_G1234	35.9167	68.7333
ICARDA_G0778	34.8667	63.0833
ICARDA_G0401	34.1167	64.2
ICARDA_G1431	34.2667	64.9
ICARDA_G0901	36.7167	69.5833
ICARDA_G0501	33.5333	69.1167
ICARDA_G0434	34.3333	63.8833
ICARDA_G0202	36.75	68.85
ICARDA_G0665	46.6833	8.76667
ICARDA_G0489	46.8	9.23333
ICARDA_G0184	46.65	9.1
ICARDA_G0890	45.8333	9.01111
ICARDA_G0345	45.8333	9.01111
ICARDA_G1391	45.9917	7.18333
ICARDA_G0513	46.25	7.35
ICARDA_G0287	46.2833	7.4
ICARDA_G0219	46.2167	7.83333
ICARDA_G1418	46.3833	8.1
ICARDA_G1275	46.1	7.06667
ICARDA_G1150	46.25	7.53333
ICARDA_G1446	46.1167	7.93333
ICARDA_G1439	46.2	7.88333
ICARDA_G1065	46.8	9.43333
ICARDA_G0412	47.05	9.43333
ICARDA_G0497	46.7833	9.13333
ICARDA_G0460	46.7667	9.06667
ICARDA_G0430	46.6833	8.85
ICARDA_G0371	46.7333	9.23333
ICARDA_G0767	47.1	9.36667
ICARDA_G0224	47.1	9.36667
ICARDA_G0267	47.1	9.36667
ICARDA_G0916	47.1	9.36667
ICARDA_G0336	47.1	9.36667
ICARDA_G1461	47.1	9.36667
ICARDA_G1405	47.1	9.36667
ICARDA_G1012	47.1	9.36667
ICARDA_G1445	46.8	10.25
ICARDA_G0521	47.4833	9.48333
ICARDA_G1311	46.8194	10.3361
ICARDA_G1124	47	9.73333
ICARDA_G0237	46.6667	9.58333
ICARDA_G1301	46.6333	9.45
ICARDA_G0607	46.5833	9.61667
ICARDA_G0523	47	8
ICARDA_G1272	40.0333	44.5333
ICARDA_G0014	42.55	22
ICARDA_G0006	43.5333	18.65
ICARDA_G1371	43.6333	19.5667
ICARDA_G0239	12.7167	37.4833
ICARDA_G1120	14.1667	38.7333
ICARDA_G0360	14.3167	39.4167
ICARDA_G1409	14.1167	39.4833
ICARDA_G1296	12.85	39.5667
ICARDA_G0138	13.2833	39.55
ICARDA_G1462	8.73333	38.3
ICARDA_G0556	8.96667	37.6667
ICARDA_G0406	8.96667	37.5
ICARDA_G1005	9.3	37.1667
ICARDA_G1454	9.43333	37.1167
ICARDA_G0885	9.43333	37.1167
ICARDA_G0659	8.93333	39.05
ICARDA_G0110	8.66667	39.55
ICARDA_G0385	8.68333	38.2333
ICARDA_G0304	8.16667	37.4833
ICARDA_G0929	9.16667	38.9667
ICARDA_G0435	9.25	39.5
ICARDA_G0975	9.21667	39.05
ICARDA_G0580	10.1833	38.7
ICARDA_G1026	10.5833	37.45
ICARDA_G0898	12.5333	37.5
ICARDA_G1038	12.5333	37.5
ICARDA_G0355	12.7167	37.4833
ICARDA_G1077	12.9333	37.4833
ICARDA_G0598	12.9333	37.4833
ICARDA_G0302	13.3333	37.4833
ICARDA_G0183	14.3667	39.4333
ICARDA_G0476	14.2833	39.4833
ICARDA_G0018	14.15	39.4833
ICARDA_G0680	14.15	39.4833
ICARDA_G0754	13.2333	39.55
ICARDA_G0099	12.8333	39.55
ICARDA_G0057	13.15	39.55
ICARDA_G0098	12.85	39.55
ICARDA_G0441	9	38.6
ICARDA_G0529	8.96667	37.6667
ICARDA_G0888	8.98333	37.6167
ICARDA_G0446	8.98333	38.8833
ICARDA_G0283	8.58333	39.5667
ICARDA_G0578	8.48333	39.7
ICARDA_G0393	13.5	39.5
ICARDA_G0299	10.35	38.7333
ICARDA_G0466	9.03333	38.15
ICARDA_G1127	7.06667	38.7833
ICARDA_G1288	9.36667	41.4333
ICARDA_G0634	9.58333	41.8333
ICARDA_G0948	9.36667	41.4333
ICARDA_G0117	9.03333	38.5667
ICARDA_G0236	14.1333	38.4
ICARDA_G0366	11.8333	39.6
ICARDA_G0394	7	39
ICARDA_G0206	6.36667	38.6167
ICARDA_G0116	9.05	38.7
ICARDA_G0323	6.48333	38.5167
ICARDA_G0568	9.05	40.9167
ICARDA_G1003	9.48333	42.2333
ICARDA_G0744	11.8333	38.1
ICARDA_G0891	12.5	37
ICARDA_G0158	12.65	37.4833
ICARDA_G0984	7.53333	39.25
ICARDA_G0646	12.65	37.4833
ICARDA_G1403	10.5333	37.5
ICARDA_G0894	7	36.5
ICARDA_G0238	9.9	39.1167
ICARDA_G0936	9.03333	38.15
ICARDA_G0328	8.83333	37.45
ICARDA_G0480	8.9	38.85
ICARDA_G1455	8.83333	39.3333
ICARDA_G0753	8.53333	37.9833
ICARDA_G1326	8.83333	37.45
ICARDA_G0712	13.5	39.5
ICARDA_G0955	14.1333	38.7167
ICARDA_G1110	9.68333	39.5167
