BIO1	BIO2	BIO3	BIO4	BIO5	BIO6	BIO7	BIO8	BIO9	BIO10	BIO11	BIO12	BIO13	BIO14	BIO15	BIO16	BIO17	BIO18	BIO19
ICARDA_G0371	248	128	67	1932	332	141	191	262	221	268	221	119	43	0	124	67	1	22	1
ICARDA_G0767	243	129	67	1984	326	134	192	257	215	264	215	124	43	0	111	68	3	25	3
ICARDA_G0224	243	129	67	1984	326	134	192	257	215	264	215	124	43	0	111	68	3	25	3
ICARDA_G0267	243	129	67	1984	326	134	192	257	215	264	215	124	43	0	111	68	3	25	3
ICARDA_G0916	243	129	67	1984	326	134	192	257	215	264	215	124	43	0	111	68	3	25	3
ICARDA_G0336	243	129	67	1984	326	134	192	257	215	264	215	124	43	0	111	68	3	25	3
ICARDA_G1461	243	129	67	1984	326	134	192	257	215	264	215	124	43	0	111	68	3	25	3
ICARDA_G1405	243	129	67	1984	326	134	192	257	215	264	215	124	43	0	111	68	3	25	3
ICARDA_G1012	243	129	67	1984	326	134	192	257	215	264	215	124	43	0	111	68	3	25	3
ICARDA_G1445	256	117	62	2592	342	154	188	272	224	288	224	84	24	0	93	43	3	11	3
ICARDA_G0521	242	131	67	1955	325	132	193	256	214	262	214	122	43	0	111	67	3	23	3
ICARDA_G1311	259	114	60	2699	347	159	188	275	227	293	227	79	21	0	94	38	3	13	3
ICARDA_G1124	223	129	68	2020	303	115	188	238	196	244	196	182	52	1	95	94	7	48	7
ICARDA_G0237	235	128	67	2038	317	128	189	249	207	256	207	149	47	1	104	80	4	35	4
ICARDA_G1301	244	127	66	2021	328	138	190	258	216	265	216	130	44	0	116	73	2	27	2
ICARDA_G0607	234	128	67	2059	316	127	189	248	205	255	205	158	48	0	100	85	3	38	3
ICARDA_G0523	249	134	70	1394	331	141	190	255	255	259	228	153	54	0	128	83	4	51	4
ICARDA_G1272	115	91	30	7667	275	-27	302	193	57	213	17	818	94	41	19	245	154	236	176
ICARDA_G0014	259	150	48	6113	405	95	310	262	328	333	177	96	31	0	105	66	3	4	16
ICARDA_G0006	216	147	54	4619	348	78	270	221	209	274	158	163	51	1	115	111	6	23	23
ICARDA_G1371	248	148	50	5457	388	96	292	254	242	317	178	115	39	1	130	85	4	12	14
ICARDA_G0239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0360	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0406	177	86	38	5107	302	77	225	131	240	246	116	809	147	3	70	389	20	49	385
ICARDA_G1005	178	96	39	5502	315	70	245	111	247	251	111	724	134	4	68	342	23	47	342
ICARDA_G1454	171	101	38	5795	318	58	260	101	245	248	101	708	126	5	64	328	27	49	328
ICARDA_G0885	171	101	38	5795	318	58	260	101	245	248	101	708	126	5	64	328	27	49	328
ICARDA_G0659	150	85	36	5387	285	49	236	100	219	222	87	583	83	5	55	234	29	55	229
ICARDA_G0110	162	88	36	5312	298	60	238	140	231	234	100	546	85	4	57	227	26	51	203
ICARDA_G0385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0435	148	82	34	5587	287	48	239	123	221	223	83	534	81	7	50	212	38	61	197
ICARDA_G0975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0580	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0898	179	75	35	4892	297	86	211	163	241	244	122	453	70	2	63	202	16	43	148
ICARDA_G1038	179	75	35	4892	297	86	211	163	241	244	122	453	70	2	63	202	16	43	148
ICARDA_G0355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1077	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0302	179	68	33	5048	291	86	205	162	243	246	119	472	73	2	64	208	14	39	160
ICARDA_G0183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0476	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0680	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0754	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0888	177	86	38	5107	302	77	225	131	240	246	116	809	147	3	70	389	20	49	385
ICARDA_G0446	159	84	36	5225	289	59	230	110	226	229	98	538	77	4	57	219	23	50	214
ICARDA_G0283	156	82	35	5273	288	58	230	134	224	227	95	624	99	5	57	260	31	55	236
ICARDA_G0578	165	76	35	5038	288	72	216	145	229	233	106	578	100	4	59	250	25	51	214
ICARDA_G0393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0366	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0394	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0568	138	67	30	5432	264	43	221	114	208	211	73	721	106	10	51	292	57	69	264
ICARDA_G1003	134	62	30	5112	248	43	205	113	200	202	74	673	89	12	42	258	68	91	218
ICARDA_G0744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0894	161	104	37	5902	315	39	276	89	234	241	89	730	125	5	61	332	37	47	332
ICARDA_G0238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0480	159	84	36	5225	289	59	230	110	226	229	98	538	77	4	57	219	23	50	214
ICARDA_G1455	156	89	37	5363	293	53	240	106	225	228	93	578	83	5	55	232	28	54	223
ICARDA_G0753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0180	161	133	39	6931	357	18	339	107	251	251	75	350	38	9	29	106	46	46	102
ICARDA_G1258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0427	167	80	36	4968	289	72	217	121	230	234	109	627	101	3	62	274	21	50	252
ICARDA_G1243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1413	182	99	40	5189	316	70	246	134	247	252	120	690	116	3	65	325	29	41	318
ICARDA_G0450	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0579	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0260	167	117	40	5843	327	40	287	110	241	245	96	672	107	3	58	297	37	43	290
ICARDA_G1114	173	112	41	5578	325	52	273	120	245	248	106	670	104	3	59	292	36	43	288
ICARDA_G0004	168	73	33	5157	292	76	216	149	236	239	110	350	50	3	51	143	21	49	103
ICARDA_G0049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0020	142	80	33	5602	281	43	238	118	216	218	78	551	82	7	50	213	38	61	207
ICARDA_G1047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1264	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0240	260	150	49	5805	403	100	303	262	329	329	181	92	25	0	91	53	3	3	18
ICARDA_G1465	247	145	50	5409	382	94	288	249	313	313	174	126	37	1	96	80	11	11	19
ICARDA_G1068	236	138	50	4997	365	94	271	237	297	297	169	144	35	2	73	77	14	14	24
ICARDA_G0603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0392	253	146	49	5571	391	98	293	256	321	321	178	111	32	1	90	68	7	7	19
ICARDA_G0601	242	143	51	5148	374	94	280	244	305	305	173	141	39	2	92	86	14	14	22
ICARDA_G1246	258	146	49	5556	396	103	293	260	325	325	183	102	28	0	88	59	5	5	18
ICARDA_G0438	253	148	49	5730	394	95	299	256	323	323	176	107	33	0	107	70	6	6	17
ICARDA_G0455	257	147	49	5648	396	101	295	260	325	325	181	103	29	0	91	61	5	5	19
ICARDA_G0231	254	148	49	5726	395	96	299	257	324	324	177	105	30	0	96	64	5	5	19
ICARDA_G0591	258	149	49	5744	400	99	301	260	327	327	180	93	25	0	91	53	3	3	18
ICARDA_G0331	258	149	49	5744	400	99	301	260	327	327	180	93	25	0	91	53	3	3	18
ICARDA_G1233	258	148	49	5656	398	101	297	260	325	325	181	94	25	0	91	53	3	3	18
ICARDA_G0407	256	149	49	5907	400	96	304	259	328	328	177	101	30	0	96	63	4	4	19
ICARDA_G0102	256	151	48	6116	403	92	311	259	330	330	174	97	30	0	100	64	3	3	18
ICARDA_G0046	255	149	49	5881	398	94	304	258	326	326	176	104	32	0	106	69	5	5	17
ICARDA_G0131	256	149	49	5883	399	95	304	259	327	327	177	102	31	0	101	66	5	5	17
ICARDA_G0204	258	151	49	5975	403	96	307	261	330	330	177	97	27	0	88	58	3	3	19
ICARDA_G0315	254	148	49	5726	395	96	299	257	324	324	177	105	30	0	96	64	5	5	19
ICARDA_G0941	284	153	61	2380	406	159	247	279	262	316	251	351	129	0	141	285	0	54	0
ICARDA_G0019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0696	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0755	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0457	244	119	80	853	326	179	147	249	252	257	234	834	109	17	42	290	84	132	272
ICARDA_G0035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0233	18	81	21	9975	216	-163	379	84	-101	147	-112	640	81	29	30	223	99	204	115
ICARDA_G1441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0388	72	88	22	10784	278	-111	389	193	-9	210	-62	507	58	27	22	157	92	151	129
ICARDA_G1368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1350	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0293	78	107	31	8156	257	-82	339	114	-29	179	-29	545	90	23	45	230	82	134	82
ICARDA_G0926	78	107	31	8156	257	-82	339	114	-29	179	-29	545	90	23	45	230	82	134	82
ICARDA_G0631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0749	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1192	196	168	87	596	296	103	193	203	198	204	188	935	147	23	43	326	115	252	276
ICARDA_G0126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0627	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1109	103	103	30	8670	285	-58	343	193	-1	213	-9	603	83	28	31	218	93	210	99
ICARDA_G1305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1421	228	151	38	8766	440	49	391	115	338	338	115	219	44	0	93	121	0	0	121
ICARDA_G0736	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1404	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0670	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1390	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
